ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12008563,JD185111,03/14/2020 03:20:00 AM,026XX W 64TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0825,008,17,66,08B,1159670,1862085,2020,03/21/2020 03:46:49 PM,41.777273199,-87.690201936,"(41.777273199, -87.690201936)"
12065311,JD248973,05/31/2020 01:00:00 PM,0000X N PULASKI RD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,1115,011,28,26,14,1149726,1899841,2020,06/07/2020 03:47:20 PM,41.881079083,-87.725677923,"(41.881079083, -87.725677923)"
11971537,JD139706,02/04/2020 08:00:00 AM,075XX N PAULINA ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,false,false,2422,024,49,1,06,1163690,1950023,2020,02/11/2020 03:50:36 PM,42.018498254,-87.672983233,"(42.018498254, -87.672983233)"
11955339,JD120252,01/13/2020 06:51:00 PM,027XX N MULLIGAN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,2512,025,30,19,06,1133609,1917580,2020,01/22/2020 03:50:17 PM,41.930055057,-87.784442672,"(41.930055057, -87.784442672)"
12076029,JD261706,06/11/2020 07:00:00 PM,074XX N ROGERS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2422,024,49,1,14,1163633,1949479,2020,06/18/2020 03:48:21 PM,42.017006715,-87.673208421,"(42.017006715, -87.673208421)"
12003387,JD178950,03/08/2020 10:50:00 PM,008XX E 82ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0631,006,8,44,14,1183207,1850806,2020,03/15/2020 03:49:40 PM,41.745807057,-87.604266485,"(41.745807057, -87.604266485)"
12068735,JD253430,05/31/2020 12:01:00 AM,031XX N ROCKWELL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1411,014,33,21,14,1158489,1920942,2020,06/07/2020 03:47:20 PM,41.938807147,-87.692922117,"(41.938807147, -87.692922117)"
12012353,JD189312,03/18/2020 08:45:00 AM,012XX S ASHLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1233,012,28,28,06,1165916,1894587,2020,03/25/2020 03:47:29 PM,41.866331725,-87.666379171,"(41.866331725, -87.666379171)"
12002555,JD177876,03/07/2020 07:30:00 PM,044XX N PULASKI RD,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1723,017,35,14,06,1148931,1929085,2020,03/14/2020 03:49:45 PM,41.961342741,-87.727838934,"(41.961342741, -87.727838934)"
12099004,JD289041,07/07/2020 09:28:00 AM,0000X E LAKE ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0111,001,42,32,08B,1176585,1901750,2020,07/14/2020 03:49:25 PM,41.885753285,-87.626996239,"(41.885753285, -87.626996239)"
